,cellID,cellType,sampleID
928,human1_lib2.final_cell_0361,beta,indiv1
930,human1_lib2.final_cell_0363,beta,indiv1
935,human1_lib2.final_cell_0368,beta,indiv1
936,human1_lib2.final_cell_0369,beta,indiv1
940,human1_lib2.final_cell_0373,beta,indiv1
943,human1_lib2.final_cell_0376,beta,indiv1
948,human1_lib2.final_cell_0381,beta,indiv1
949,human1_lib2.final_cell_0382,beta,indiv1
951,human1_lib2.final_cell_0384,beta,indiv1
952,human1_lib2.final_cell_0385,beta,indiv1
955,human1_lib2.final_cell_0388,beta,indiv1
958,human1_lib2.final_cell_0391,beta,indiv1
960,human1_lib2.final_cell_0393,beta,indiv1
961,human1_lib2.final_cell_0394,beta,indiv1
963,human1_lib2.final_cell_0396,beta,indiv1
964,human1_lib2.final_cell_0397,beta,indiv1
965,human1_lib2.final_cell_0398,beta,indiv1
973,human1_lib2.final_cell_0406,beta,indiv1
978,human1_lib2.final_cell_0411,beta,indiv1
980,human1_lib2.final_cell_0413,beta,indiv1
981,human1_lib2.final_cell_0414,beta,indiv1
982,human1_lib2.final_cell_0415,beta,indiv1
983,human1_lib2.final_cell_0416,beta,indiv1
989,human1_lib2.final_cell_0422,beta,indiv1
994,human1_lib2.final_cell_0427,beta,indiv1
996,human1_lib2.final_cell_0429,beta,indiv1
1000,human1_lib2.final_cell_0433,beta,indiv1
1001,human1_lib2.final_cell_0434,beta,indiv1
1005,human1_lib2.final_cell_0438,beta,indiv1
1007,human1_lib2.final_cell_0440,beta,indiv1
1009,human1_lib2.final_cell_0442,beta,indiv1
1011,human1_lib2.final_cell_0444,beta,indiv1
1012,human1_lib2.final_cell_0445,beta,indiv1
1013,human1_lib2.final_cell_0446,beta,indiv1
1014,human1_lib2.final_cell_0447,beta,indiv1
1016,human1_lib2.final_cell_0449,beta,indiv1
1017,human1_lib2.final_cell_0450,beta,indiv1
1020,human1_lib2.final_cell_0453,beta,indiv1
1021,human1_lib2.final_cell_0454,beta,indiv1
1031,human1_lib2.final_cell_0464,beta,indiv1
1034,human1_lib2.final_cell_0467,beta,indiv1
1044,human1_lib2.final_cell_0477,beta,indiv1
1046,human1_lib2.final_cell_0479,beta,indiv1
1047,human1_lib2.final_cell_0480,beta,indiv1
1050,human1_lib2.final_cell_0483,beta,indiv1
1052,human1_lib2.final_cell_0485,beta,indiv1
1056,human1_lib2.final_cell_0489,beta,indiv1
1062,human1_lib2.final_cell_0495,beta,indiv1
1070,human1_lib2.final_cell_0503,beta,indiv1
1073,human1_lib2.final_cell_0506,beta,indiv1
1075,human1_lib2.final_cell_0508,beta,indiv1
1076,human1_lib2.final_cell_0509,beta,indiv1
1079,human1_lib2.final_cell_0512,beta,indiv1
1083,human1_lib2.final_cell_0516,beta,indiv1
1085,human1_lib2.final_cell_0518,beta,indiv1
1088,human1_lib2.final_cell_0521,beta,indiv1
1089,human1_lib2.final_cell_0522,beta,indiv1
1090,human1_lib2.final_cell_0523,beta,indiv1
1091,human1_lib2.final_cell_0524,beta,indiv1
1093,human1_lib2.final_cell_0526,beta,indiv1
1096,human1_lib2.final_cell_0529,beta,indiv1
1098,human1_lib2.final_cell_0531,beta,indiv1
1101,human1_lib2.final_cell_0534,beta,indiv1
1103,human1_lib2.final_cell_0536,beta,indiv1
1105,human1_lib2.final_cell_0538,beta,indiv1
1107,human1_lib2.final_cell_0540,beta,indiv1
1108,human1_lib2.final_cell_0541,beta,indiv1
1112,human1_lib2.final_cell_0545,beta,indiv1
1113,human1_lib2.final_cell_0546,beta,indiv1
1115,human1_lib2.final_cell_0548,beta,indiv1
1118,human1_lib2.final_cell_0551,beta,indiv1
1120,human1_lib2.final_cell_0553,beta,indiv1
1123,human1_lib2.final_cell_0556,beta,indiv1
1124,human1_lib2.final_cell_0557,beta,indiv1
1125,human1_lib2.final_cell_0558,beta,indiv1
1127,human1_lib2.final_cell_0560,beta,indiv1
1131,human1_lib2.final_cell_0564,beta,indiv1
1140,human1_lib2.final_cell_0573,beta,indiv1
1143,human1_lib2.final_cell_0576,beta,indiv1
1152,human1_lib2.final_cell_0585,beta,indiv1
1155,human1_lib2.final_cell_0588,beta,indiv1
1156,human1_lib2.final_cell_0589,beta,indiv1
1164,human1_lib2.final_cell_0597,beta,indiv1
1166,human1_lib2.final_cell_0599,beta,indiv1
1169,human1_lib2.final_cell_0602,beta,indiv1
1170,human1_lib2.final_cell_0603,beta,indiv1
1171,human1_lib2.final_cell_0604,beta,indiv1
1172,human1_lib2.final_cell_0605,beta,indiv1
1173,human1_lib2.final_cell_0606,beta,indiv1
1176,human1_lib2.final_cell_0609,beta,indiv1
1181,human1_lib2.final_cell_0614,beta,indiv1
1182,human1_lib2.final_cell_0615,beta,indiv1
1191,human1_lib2.final_cell_0624,beta,indiv1
1208,human1_lib3.final_cell_0012,beta,indiv1
1214,human1_lib3.final_cell_0018,beta,indiv1
1220,human1_lib3.final_cell_0024,beta,indiv1
1223,human1_lib3.final_cell_0027,beta,indiv1
1229,human1_lib3.final_cell_0033,beta,indiv1
1230,human1_lib3.final_cell_0034,beta,indiv1
1231,human1_lib3.final_cell_0035,beta,indiv1
1233,human1_lib3.final_cell_0037,beta,indiv1
1234,human1_lib3.final_cell_0038,beta,indiv1
1235,human1_lib3.final_cell_0039,beta,indiv1
1243,human1_lib3.final_cell_0047,beta,indiv1
1247,human1_lib3.final_cell_0051,beta,indiv1
1248,human1_lib3.final_cell_0052,beta,indiv1
1249,human1_lib3.final_cell_0053,beta,indiv1
1255,human1_lib3.final_cell_0059,beta,indiv1
1256,human1_lib3.final_cell_0060,beta,indiv1
1259,human1_lib3.final_cell_0063,beta,indiv1
1261,human1_lib3.final_cell_0065,beta,indiv1
1265,human1_lib3.final_cell_0069,beta,indiv1
1267,human1_lib3.final_cell_0071,beta,indiv1
1268,human1_lib3.final_cell_0072,beta,indiv1
1272,human1_lib3.final_cell_0076,beta,indiv1
1275,human1_lib3.final_cell_0079,beta,indiv1
1277,human1_lib3.final_cell_0081,beta,indiv1
1281,human1_lib3.final_cell_0085,beta,indiv1
1282,human1_lib3.final_cell_0086,beta,indiv1
1283,human1_lib3.final_cell_0087,beta,indiv1
1284,human1_lib3.final_cell_0088,beta,indiv1
1285,human1_lib3.final_cell_0089,beta,indiv1
1286,human1_lib3.final_cell_0090,beta,indiv1
1287,human1_lib3.final_cell_0091,beta,indiv1
1288,human1_lib3.final_cell_0092,beta,indiv1
1290,human1_lib3.final_cell_0094,beta,indiv1
1291,human1_lib3.final_cell_0095,beta,indiv1
1293,human1_lib3.final_cell_0097,beta,indiv1
1294,human1_lib3.final_cell_0098,beta,indiv1
1295,human1_lib3.final_cell_0099,beta,indiv1
1299,human1_lib3.final_cell_0103,beta,indiv1
1301,human1_lib3.final_cell_0105,beta,indiv1
1303,human1_lib3.final_cell_0107,beta,indiv1
1304,human1_lib3.final_cell_0108,beta,indiv1
1313,human1_lib3.final_cell_0117,beta,indiv1
1315,human1_lib3.final_cell_0119,beta,indiv1
1316,human1_lib3.final_cell_0120,beta,indiv1
1317,human1_lib3.final_cell_0121,beta,indiv1
1318,human1_lib3.final_cell_0122,beta,indiv1
1320,human1_lib3.final_cell_0124,beta,indiv1
1321,human1_lib3.final_cell_0125,beta,indiv1
1322,human1_lib3.final_cell_0126,beta,indiv1
1323,human1_lib3.final_cell_0127,beta,indiv1
1324,human1_lib3.final_cell_0128,beta,indiv1
1327,human1_lib3.final_cell_0131,beta,indiv1
1328,human1_lib3.final_cell_0132,beta,indiv1
1329,human1_lib3.final_cell_0133,beta,indiv1
1330,human1_lib3.final_cell_0134,beta,indiv1
1332,human1_lib3.final_cell_0136,beta,indiv1
1333,human1_lib3.final_cell_0137,beta,indiv1
1334,human1_lib3.final_cell_0138,beta,indiv1
1336,human1_lib3.final_cell_0140,beta,indiv1
1338,human1_lib3.final_cell_0142,beta,indiv1
1340,human1_lib3.final_cell_0144,beta,indiv1
1341,human1_lib3.final_cell_0145,beta,indiv1
1344,human1_lib3.final_cell_0148,beta,indiv1
1345,human1_lib3.final_cell_0149,beta,indiv1
1349,human1_lib3.final_cell_0153,beta,indiv1
1353,human1_lib3.final_cell_0157,beta,indiv1
1354,human1_lib3.final_cell_0158,beta,indiv1
1355,human1_lib3.final_cell_0159,beta,indiv1
1356,human1_lib3.final_cell_0160,beta,indiv1
1358,human1_lib3.final_cell_0162,beta,indiv1
1360,human1_lib3.final_cell_0164,beta,indiv1
1361,human1_lib3.final_cell_0165,beta,indiv1
1362,human1_lib3.final_cell_0166,beta,indiv1
1363,human1_lib3.final_cell_0167,beta,indiv1
1364,human1_lib3.final_cell_0168,beta,indiv1
1365,human1_lib3.final_cell_0169,beta,indiv1
1368,human1_lib3.final_cell_0172,beta,indiv1
1369,human1_lib3.final_cell_0173,beta,indiv1
1371,human1_lib3.final_cell_0175,beta,indiv1
1372,human1_lib3.final_cell_0176,beta,indiv1
1378,human1_lib3.final_cell_0182,beta,indiv1
1382,human1_lib3.final_cell_0186,beta,indiv1
1383,human1_lib3.final_cell_0187,beta,indiv1
1388,human1_lib3.final_cell_0192,beta,indiv1
1390,human1_lib3.final_cell_0194,beta,indiv1
1392,human1_lib3.final_cell_0196,beta,indiv1
1394,human1_lib3.final_cell_0198,beta,indiv1
1396,human1_lib3.final_cell_0200,beta,indiv1
1398,human1_lib3.final_cell_0202,beta,indiv1
1403,human1_lib3.final_cell_0207,beta,indiv1
1404,human1_lib3.final_cell_0208,beta,indiv1
1407,human1_lib3.final_cell_0211,beta,indiv1
1408,human1_lib3.final_cell_0212,beta,indiv1
1410,human1_lib3.final_cell_0214,beta,indiv1
1411,human1_lib3.final_cell_0215,beta,indiv1
1415,human1_lib3.final_cell_0219,beta,indiv1
1416,human1_lib3.final_cell_0220,beta,indiv1
1417,human1_lib3.final_cell_0221,beta,indiv1
1418,human1_lib3.final_cell_0222,beta,indiv1
1420,human1_lib3.final_cell_0224,beta,indiv1
1421,human1_lib3.final_cell_0225,beta,indiv1
1423,human1_lib3.final_cell_0227,beta,indiv1
1424,human1_lib3.final_cell_0228,beta,indiv1
1426,human1_lib3.final_cell_0230,beta,indiv1
1429,human1_lib3.final_cell_0233,beta,indiv1
1430,human1_lib3.final_cell_0234,beta,indiv1
1433,human1_lib3.final_cell_0237,beta,indiv1
1435,human1_lib3.final_cell_0239,beta,indiv1
1436,human1_lib3.final_cell_0240,beta,indiv1
1440,human1_lib3.final_cell_0244,beta,indiv1
1446,human1_lib3.final_cell_0250,beta,indiv1
1449,human1_lib3.final_cell_0253,beta,indiv1
1450,human1_lib3.final_cell_0254,beta,indiv1
1452,human1_lib3.final_cell_0256,beta,indiv1
1455,human1_lib3.final_cell_0259,beta,indiv1
1457,human1_lib3.final_cell_0261,beta,indiv1
1458,human1_lib3.final_cell_0262,beta,indiv1
1459,human1_lib3.final_cell_0263,beta,indiv1
1461,human1_lib3.final_cell_0265,beta,indiv1
1462,human1_lib3.final_cell_0266,beta,indiv1
1464,human1_lib3.final_cell_0268,beta,indiv1
1468,human1_lib3.final_cell_0272,beta,indiv1
1472,human1_lib3.final_cell_0276,beta,indiv1
1473,human1_lib3.final_cell_0277,beta,indiv1
1476,human1_lib3.final_cell_0280,beta,indiv1
1479,human1_lib3.final_cell_0283,beta,indiv1
1480,human1_lib3.final_cell_0284,beta,indiv1
1481,human1_lib3.final_cell_0285,beta,indiv1
1482,human1_lib3.final_cell_0286,beta,indiv1
1483,human1_lib3.final_cell_0287,beta,indiv1
1486,human1_lib3.final_cell_0290,beta,indiv1
1491,human1_lib3.final_cell_0295,beta,indiv1
1492,human1_lib3.final_cell_0296,beta,indiv1
1493,human1_lib3.final_cell_0297,beta,indiv1
1496,human1_lib3.final_cell_0300,beta,indiv1
1497,human1_lib3.final_cell_0301,beta,indiv1
1498,human1_lib3.final_cell_0302,beta,indiv1
1499,human1_lib3.final_cell_0303,beta,indiv1
1500,human1_lib3.final_cell_0304,beta,indiv1
1502,human1_lib3.final_cell_0306,beta,indiv1
1503,human1_lib3.final_cell_0307,beta,indiv1
1504,human1_lib3.final_cell_0308,beta,indiv1
1506,human1_lib3.final_cell_0310,beta,indiv1
1508,human1_lib3.final_cell_0312,beta,indiv1
1510,human1_lib3.final_cell_0314,beta,indiv1
1513,human1_lib3.final_cell_0317,beta,indiv1
1514,human1_lib3.final_cell_0318,beta,indiv1
1516,human1_lib3.final_cell_0320,beta,indiv1
1517,human1_lib3.final_cell_0321,beta,indiv1
1518,human1_lib3.final_cell_0322,beta,indiv1
1519,human1_lib3.final_cell_0323,beta,indiv1
1520,human1_lib3.final_cell_0324,beta,indiv1
1521,human1_lib3.final_cell_0325,beta,indiv1
1527,human1_lib3.final_cell_0331,beta,indiv1
1528,human1_lib3.final_cell_0332,beta,indiv1
1529,human1_lib3.final_cell_0333,beta,indiv1
1530,human1_lib3.final_cell_0334,beta,indiv1
1531,human1_lib3.final_cell_0335,beta,indiv1
1532,human1_lib3.final_cell_0336,beta,indiv1
1534,human1_lib3.final_cell_0338,beta,indiv1
1535,human1_lib3.final_cell_0339,beta,indiv1
1538,human1_lib3.final_cell_0342,beta,indiv1
1541,human1_lib3.final_cell_0345,beta,indiv1
1543,human1_lib3.final_cell_0347,beta,indiv1
1544,human1_lib3.final_cell_0348,beta,indiv1
1545,human1_lib3.final_cell_0349,beta,indiv1
1546,human1_lib3.final_cell_0350,beta,indiv1
1548,human1_lib3.final_cell_0352,beta,indiv1
1550,human1_lib3.final_cell_0354,beta,indiv1
1551,human1_lib3.final_cell_0355,beta,indiv1
1554,human1_lib3.final_cell_0358,beta,indiv1
1555,human1_lib3.final_cell_0359,beta,indiv1
1559,human1_lib3.final_cell_0363,beta,indiv1
1560,human1_lib3.final_cell_0364,beta,indiv1
1564,human1_lib3.final_cell_0368,beta,indiv1
1566,human1_lib3.final_cell_0370,beta,indiv1
1569,human1_lib3.final_cell_0373,beta,indiv1
1570,human1_lib3.final_cell_0374,beta,indiv1
1571,human1_lib3.final_cell_0375,beta,indiv1
1572,human1_lib3.final_cell_0376,beta,indiv1
1573,human1_lib3.final_cell_0377,beta,indiv1
1574,human1_lib3.final_cell_0378,beta,indiv1
1576,human1_lib3.final_cell_0380,beta,indiv1
1578,human1_lib3.final_cell_0382,beta,indiv1
1579,human1_lib3.final_cell_0383,beta,indiv1
1583,human1_lib3.final_cell_0387,beta,indiv1
1584,human1_lib3.final_cell_0388,beta,indiv1
1585,human1_lib3.final_cell_0389,beta,indiv1
1590,human1_lib3.final_cell_0394,beta,indiv1
1592,human1_lib3.final_cell_0396,beta,indiv1
1594,human1_lib3.final_cell_0398,beta,indiv1
1595,human1_lib3.final_cell_0399,beta,indiv1
1596,human1_lib3.final_cell_0400,beta,indiv1
1600,human1_lib3.final_cell_0404,beta,indiv1
1601,human1_lib3.final_cell_0405,beta,indiv1
1602,human1_lib3.final_cell_0406,beta,indiv1
1606,human1_lib3.final_cell_0410,beta,indiv1
1609,human1_lib3.final_cell_0413,beta,indiv1
1612,human1_lib3.final_cell_0416,beta,indiv1
1617,human1_lib3.final_cell_0421,beta,indiv1
1618,human1_lib3.final_cell_0422,beta,indiv1
1619,human1_lib3.final_cell_0423,beta,indiv1
1628,human1_lib3.final_cell_0432,beta,indiv1
1629,human1_lib3.final_cell_0433,beta,indiv1
1630,human1_lib3.final_cell_0434,beta,indiv1
1631,human1_lib3.final_cell_0435,beta,indiv1
1633,human1_lib3.final_cell_0437,beta,indiv1
1636,human1_lib3.final_cell_0440,beta,indiv1
1637,human1_lib3.final_cell_0441,beta,indiv1
1639,human1_lib3.final_cell_0443,beta,indiv1
1642,human1_lib3.final_cell_0446,beta,indiv1
1648,human1_lib3.final_cell_0452,beta,indiv1
1649,human1_lib3.final_cell_0453,beta,indiv1
1651,human1_lib3.final_cell_0455,beta,indiv1
1652,human1_lib3.final_cell_0456,beta,indiv1
1654,human1_lib3.final_cell_0458,beta,indiv1
1658,human1_lib3.final_cell_0462,beta,indiv1
1660,human1_lib3.final_cell_0464,beta,indiv1
1662,human1_lib3.final_cell_0466,beta,indiv1
1663,human1_lib3.final_cell_0467,beta,indiv1
1666,human1_lib3.final_cell_0470,beta,indiv1
1668,human1_lib3.final_cell_0472,beta,indiv1
1672,human1_lib3.final_cell_0476,beta,indiv1
1673,human1_lib3.final_cell_0477,beta,indiv1
1675,human1_lib3.final_cell_0479,beta,indiv1
1676,human1_lib3.final_cell_0480,beta,indiv1
1681,human1_lib3.final_cell_0485,beta,indiv1
1682,human1_lib3.final_cell_0486,beta,indiv1
1684,human1_lib3.final_cell_0488,beta,indiv1
1687,human1_lib3.final_cell_0491,beta,indiv1
1688,human1_lib3.final_cell_0492,beta,indiv1
1689,human1_lib3.final_cell_0493,beta,indiv1
1691,human1_lib3.final_cell_0495,beta,indiv1
1692,human1_lib3.final_cell_0496,beta,indiv1
1697,human1_lib3.final_cell_0501,beta,indiv1
1698,human1_lib3.final_cell_0502,beta,indiv1
1700,human1_lib3.final_cell_0504,beta,indiv1
1703,human1_lib3.final_cell_0507,beta,indiv1
1705,human1_lib3.final_cell_0509,beta,indiv1
1708,human1_lib3.final_cell_0512,beta,indiv1
1709,human1_lib3.final_cell_0513,beta,indiv1
1711,human1_lib3.final_cell_0515,beta,indiv1
1713,human1_lib3.final_cell_0517,beta,indiv1
1716,human1_lib3.final_cell_0520,beta,indiv1
1717,human1_lib3.final_cell_0521,beta,indiv1
1718,human1_lib3.final_cell_0522,beta,indiv1
1721,human1_lib3.final_cell_0525,beta,indiv1
1722,human1_lib3.final_cell_0526,beta,indiv1
1723,human1_lib3.final_cell_0527,beta,indiv1
1724,human1_lib3.final_cell_0528,beta,indiv1
1727,human1_lib3.final_cell_0531,beta,indiv1
1733,human1_lib3.final_cell_0537,beta,indiv1
1734,human1_lib3.final_cell_0538,beta,indiv1
1738,human1_lib3.final_cell_0542,beta,indiv1
1739,human1_lib3.final_cell_0543,beta,indiv1
1741,human1_lib3.final_cell_0545,beta,indiv1
1745,human1_lib3.final_cell_0549,beta,indiv1
1746,human1_lib3.final_cell_0550,beta,indiv1
1747,human1_lib3.final_cell_0551,beta,indiv1
1749,human1_lib3.final_cell_0553,beta,indiv1
1750,human1_lib3.final_cell_0554,beta,indiv1
1752,human1_lib3.final_cell_0556,beta,indiv1
1753,human1_lib3.final_cell_0557,beta,indiv1
1755,human1_lib3.final_cell_0559,beta,indiv1
1757,human1_lib3.final_cell_0561,beta,indiv1
1759,human1_lib3.final_cell_0563,beta,indiv1
1760,human1_lib3.final_cell_0564,beta,indiv1
1761,human1_lib3.final_cell_0565,beta,indiv1
1762,human1_lib3.final_cell_0566,beta,indiv1
1766,human1_lib3.final_cell_0570,beta,indiv1
1769,human1_lib3.final_cell_0573,beta,indiv1
1773,human1_lib3.final_cell_0577,beta,indiv1
1775,human1_lib3.final_cell_0579,beta,indiv1
1776,human1_lib3.final_cell_0580,beta,indiv1
1777,human1_lib3.final_cell_0581,beta,indiv1
1779,human1_lib3.final_cell_0583,beta,indiv1
1781,human1_lib3.final_cell_0585,beta,indiv1
1782,human1_lib3.final_cell_0586,beta,indiv1
1784,human1_lib3.final_cell_0588,beta,indiv1
1788,human1_lib3.final_cell_0592,beta,indiv1
1789,human1_lib3.final_cell_0593,beta,indiv1
1792,human1_lib3.final_cell_0596,beta,indiv1
1803,human1_lib3.final_cell_0607,beta,indiv1
1804,human1_lib3.final_cell_0608,beta,indiv1
1805,human1_lib3.final_cell_0609,beta,indiv1
1808,human1_lib3.final_cell_0612,beta,indiv1
1813,human1_lib3.final_cell_0617,beta,indiv1
1815,human1_lib3.final_cell_0619,beta,indiv1
1816,human1_lib3.final_cell_0620,beta,indiv1
1822,human1_lib3.final_cell_0626,beta,indiv1
1825,human1_lib3.final_cell_0629,beta,indiv1
1829,human1_lib3.final_cell_0633,beta,indiv1
1830,human1_lib3.final_cell_0634,beta,indiv1
1835,human1_lib3.final_cell_0639,beta,indiv1
1838,human1_lib3.final_cell_0642,beta,indiv1
1839,human1_lib3.final_cell_0643,beta,indiv1
1840,human1_lib3.final_cell_0644,beta,indiv1
1841,human1_lib3.final_cell_0645,beta,indiv1
1842,human1_lib3.final_cell_0646,beta,indiv1
1843,human1_lib3.final_cell_0647,beta,indiv1
1844,human1_lib3.final_cell_0648,beta,indiv1
1847,human1_lib3.final_cell_0651,beta,indiv1
1848,human1_lib3.final_cell_0652,beta,indiv1
1849,human1_lib3.final_cell_0653,beta,indiv1
1850,human1_lib3.final_cell_0654,beta,indiv1
1854,human1_lib3.final_cell_0658,beta,indiv1
1855,human1_lib3.final_cell_0659,beta,indiv1
1859,human1_lib3.final_cell_0663,beta,indiv1
1862,human1_lib3.final_cell_0666,beta,indiv1
1863,human1_lib3.final_cell_0667,beta,indiv1
1865,human1_lib3.final_cell_0669,beta,indiv1
1866,human1_lib3.final_cell_0670,beta,indiv1
1868,human1_lib3.final_cell_0672,beta,indiv1
1878,human1_lib3.final_cell_0682,beta,indiv1
1884,human1_lib3.final_cell_0688,beta,indiv1
1885,human1_lib3.final_cell_0689,beta,indiv1
1892,human1_lib3.final_cell_0696,beta,indiv1
1896,human1_lib3.final_cell_0700,beta,indiv1
1897,human1_lib3.final_cell_0701,beta,indiv1
1898,human1_lib3.final_cell_0702,beta,indiv1
1899,human1_lib3.final_cell_0703,beta,indiv1
1901,human1_lib3.final_cell_0705,beta,indiv1
1902,human1_lib3.final_cell_0706,beta,indiv1
1903,human1_lib3.final_cell_0707,beta,indiv1
1905,human1_lib3.final_cell_0709,beta,indiv1
1909,human1_lib3.final_cell_0713,beta,indiv1
1911,human1_lib3.final_cell_0715,beta,indiv1
1912,human1_lib3.final_cell_0716,beta,indiv1
1913,human1_lib3.final_cell_0717,beta,indiv1
1914,human1_lib3.final_cell_0718,beta,indiv1
1915,human1_lib3.final_cell_0719,beta,indiv1
1920,human1_lib3.final_cell_0724,beta,indiv1
1921,human1_lib3.final_cell_0725,beta,indiv1
1925,human1_lib3.final_cell_0729,beta,indiv1
1926,human1_lib3.final_cell_0730,beta,indiv1
1928,human1_lib3.final_cell_0732,beta,indiv1
1929,human1_lib3.final_cell_0733,beta,indiv1
1930,human1_lib3.final_cell_0734,beta,indiv1
1933,human1_lib3.final_cell_0737,beta,indiv1
1935,human1_lib3.final_cell_0739,beta,indiv1
1953,human2_lib1.final_cell_0017,beta,indiv2
1990,human2_lib1.final_cell_0054,beta,indiv2
1992,human2_lib1.final_cell_0056,beta,indiv2
1993,human2_lib1.final_cell_0057,beta,indiv2
1994,human2_lib1.final_cell_0058,beta,indiv2
1999,human2_lib1.final_cell_0063,beta,indiv2
2004,human2_lib1.final_cell_0068,beta,indiv2
2009,human2_lib1.final_cell_0073,beta,indiv2
2012,human2_lib1.final_cell_0076,beta,indiv2
2016,human2_lib1.final_cell_0080,beta,indiv2
2026,human2_lib1.final_cell_0090,beta,indiv2
2028,human2_lib1.final_cell_0092,beta,indiv2
2036,human2_lib1.final_cell_0100,beta,indiv2
2037,human2_lib1.final_cell_0101,beta,indiv2
2041,human2_lib1.final_cell_0105,beta,indiv2
2043,human2_lib1.final_cell_0107,beta,indiv2
2047,human2_lib1.final_cell_0111,beta,indiv2
2051,human2_lib1.final_cell_0115,beta,indiv2
2055,human2_lib1.final_cell_0119,beta,indiv2
2060,human2_lib1.final_cell_0124,beta,indiv2
2062,human2_lib1.final_cell_0126,beta,indiv2
2064,human2_lib1.final_cell_0128,beta,indiv2
2073,human2_lib1.final_cell_0137,beta,indiv2
2075,human2_lib1.final_cell_0139,beta,indiv2
2077,human2_lib1.final_cell_0141,beta,indiv2
2081,human2_lib1.final_cell_0145,beta,indiv2
2086,human2_lib1.final_cell_0150,beta,indiv2
2118,human2_lib1.final_cell_0182,beta,indiv2
2119,human2_lib1.final_cell_0183,beta,indiv2
2123,human2_lib1.final_cell_0187,beta,indiv2
2131,human2_lib1.final_cell_0195,beta,indiv2
2132,human2_lib1.final_cell_0196,beta,indiv2
2134,human2_lib1.final_cell_0198,beta,indiv2
2137,human2_lib1.final_cell_0201,beta,indiv2
2140,human2_lib1.final_cell_0204,beta,indiv2
2142,human2_lib1.final_cell_0206,beta,indiv2
2151,human2_lib1.final_cell_0215,beta,indiv2
2155,human2_lib1.final_cell_0219,beta,indiv2
2159,human2_lib1.final_cell_0223,beta,indiv2
2160,human2_lib1.final_cell_0224,beta,indiv2
2163,human2_lib1.final_cell_0227,beta,indiv2
2167,human2_lib1.final_cell_0231,beta,indiv2
2169,human2_lib1.final_cell_0233,beta,indiv2
2172,human2_lib1.final_cell_0236,beta,indiv2
2173,human2_lib1.final_cell_0237,beta,indiv2
2178,human2_lib1.final_cell_0242,beta,indiv2
2185,human2_lib1.final_cell_0249,beta,indiv2
2188,human2_lib1.final_cell_0252,beta,indiv2
2190,human2_lib1.final_cell_0254,beta,indiv2
2191,human2_lib1.final_cell_0255,beta,indiv2
2195,human2_lib1.final_cell_0259,beta,indiv2
2196,human2_lib1.final_cell_0260,beta,indiv2
2198,human2_lib1.final_cell_0262,beta,indiv2
2206,human2_lib1.final_cell_0270,beta,indiv2
2209,human2_lib1.final_cell_0273,beta,indiv2
2210,human2_lib1.final_cell_0274,beta,indiv2
2216,human2_lib1.final_cell_0280,beta,indiv2
2218,human2_lib1.final_cell_0282,beta,indiv2
2221,human2_lib1.final_cell_0285,beta,indiv2
2224,human2_lib1.final_cell_0288,beta,indiv2
2226,human2_lib1.final_cell_0290,beta,indiv2
2227,human2_lib1.final_cell_0291,beta,indiv2
2229,human2_lib1.final_cell_0293,beta,indiv2
2232,human2_lib1.final_cell_0296,beta,indiv2
2234,human2_lib1.final_cell_0298,beta,indiv2
2240,human2_lib1.final_cell_0304,beta,indiv2
2254,human2_lib1.final_cell_0318,beta,indiv2
2260,human2_lib1.final_cell_0324,beta,indiv2
2261,human2_lib1.final_cell_0325,beta,indiv2
2262,human2_lib1.final_cell_0326,beta,indiv2
2268,human2_lib1.final_cell_0332,beta,indiv2
2269,human2_lib1.final_cell_0333,beta,indiv2
2290,human2_lib1.final_cell_0354,beta,indiv2
2302,human2_lib1.final_cell_0366,beta,indiv2
2304,human2_lib1.final_cell_0368,beta,indiv2
2315,human2_lib1.final_cell_0379,beta,indiv2
2318,human2_lib1.final_cell_0382,beta,indiv2
2324,human2_lib1.final_cell_0388,beta,indiv2
2326,human2_lib1.final_cell_0390,beta,indiv2
2329,human2_lib1.final_cell_0393,beta,indiv2
2341,human2_lib1.final_cell_0405,beta,indiv2
2357,human2_lib1.final_cell_0421,beta,indiv2
2366,human2_lib1.final_cell_0430,beta,indiv2
2372,human2_lib1.final_cell_0436,beta,indiv2
2385,human2_lib1.final_cell_0449,beta,indiv2
2399,human2_lib1.final_cell_0463,beta,indiv2
2402,human2_lib1.final_cell_0466,beta,indiv2
2410,human2_lib1.final_cell_0474,beta,indiv2
2411,human2_lib1.final_cell_0475,beta,indiv2
2419,human2_lib1.final_cell_0483,beta,indiv2
2420,human2_lib1.final_cell_0484,beta,indiv2
2423,human2_lib1.final_cell_0487,beta,indiv2
2424,human2_lib1.final_cell_0488,beta,indiv2
2433,human2_lib1.final_cell_0497,beta,indiv2
2449,human2_lib1.final_cell_0513,beta,indiv2
2450,human2_lib1.final_cell_0514,beta,indiv2
2451,human2_lib1.final_cell_0515,beta,indiv2
2452,human2_lib1.final_cell_0516,beta,indiv2
2458,human2_lib1.final_cell_0522,beta,indiv2
2463,human2_lib1.final_cell_0527,beta,indiv2
2466,human2_lib1.final_cell_0530,beta,indiv2
2468,human2_lib1.final_cell_0532,beta,indiv2
2474,human2_lib1.final_cell_0538,beta,indiv2
2476,human2_lib1.final_cell_0540,beta,indiv2
2478,human2_lib1.final_cell_0542,beta,indiv2
